ID,ACTIVITY_UUID,GROUP_UUID,DESCRIPTION,FOR_COORDINATION,SECTION_UUID,PHASE_NAME,ORG_UNIT_CODE,ORG_UNIT_TYPE,STATUS,CONTRIBUTION_TYPE
46866d24-6c0c-47a8-bc69-b0da72102f2f,d7e37ad2-7afe-4366-8cf5-609c8dc78e0f,9da48bdd-d914-47f1-89b3-d14d1104e1b1,Transport + exchange of one magnet,0,2f71f349-ecf9-46cf-9d73-4f94f4846af6,Installation,EN-HE-HH,SECT,A,Other
33737e5a-49da-4590-802d-7e891aadcf4a,190072a2-6528-40e0-9310-8dbb74e3e87e,55b6690d-1b7f-42d6-8201-9fccb351667a,,1,,,SY-ABT,GROUP,A,Other
8da0fe65-87dd-4f6d-b5cf-9f9467183935,190072a2-6528-40e0-9310-8dbb74e3e87e,9da48bdd-d914-47f1-89b3-d14d1104e1b1,Transport + exchange of one magnet,0,2f71f349-ecf9-46cf-9d73-4f94f4846af6,Installation,EN-HE-HH,SECT,A,Other
01114365-f752-4ff6-9940-e0bf44b96515,190072a2-6528-40e0-9310-8dbb74e3e87e,68e4b8f0-0990-4afe-9535-3b0e31a4e740,Replacement MKI magnet,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Installation,TE-VSC-BVO,SECT,A,Other
ae28da08-7f57-4ffa-8650-d1146ab6ff7b,190072a2-6528-40e0-9310-8dbb74e3e87e,6c347690-982c-4153-80ac-5fdf9f39b2e2,Availability water cooling in RA23 / RA87,0,,Commissioning,EN-CV,GROUP,A,Other
a5354476-ec90-4d4d-959b-7739f64d23b6,190072a2-6528-40e0-9310-8dbb74e3e87e,68e4b8f0-0990-4afe-9535-3b0e31a4e740,Vacuum system re-commissioning including bake-out of interconnects,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Commissioning,TE-VSC-BVO,SECT,A,Other
6ad098f3-cfe2-483e-9601-1bb5b20f803d,190072a2-6528-40e0-9310-8dbb74e3e87e,8365620a-eb50-4bb0-85bf-90c5d6f034a2,Survey after magnet installation,0,37e884c0-072c-41fc-97fc-0007becec31e,Installation,BE-GM-ASG,SECT,A,Other
cde09f12-edaa-4028-8788-389b5adb2b6d,190072a2-6528-40e0-9310-8dbb74e3e87e,68e4b8f0-0990-4afe-9535-3b0e31a4e740,Installation and bakeout,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Preparation,TE-VSC-BVO,SECT,A,Other
b50f0e42-f58c-459a-b982-81ecde9e97cb,c962207b-e00b-4ad8-9840-01670714f240,55b6690d-1b7f-42d6-8201-9fccb351667a,,1,,,SY-ABT,GROUP,A,Other
71ab5689-e0d7-4115-a7a9-3275580ba9a4,c962207b-e00b-4ad8-9840-01670714f240,8365620a-eb50-4bb0-85bf-90c5d6f034a2,Survey after magnet installation,0,37e884c0-072c-41fc-97fc-0007becec31e,Installation,BE-GM-ASG,SECT,A,Other
911eac7d-8ea0-4589-97dc-59e9d4fdf77f,c962207b-e00b-4ad8-9840-01670714f240,68e4b8f0-0990-4afe-9535-3b0e31a4e740,Replacement MKI magnet,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Installation,TE-VSC-BVO,SECT,A,Other
a22b3166-6a76-47ed-a875-60446dc0de5b,c962207b-e00b-4ad8-9840-01670714f240,6c347690-982c-4153-80ac-5fdf9f39b2e2,Availability water cooling in RA23 / RA87,0,,Commissioning,EN-CV,GROUP,A,Other
943f7059-428a-4166-a4a4-474427283e9a,c962207b-e00b-4ad8-9840-01670714f240,68e4b8f0-0990-4afe-9535-3b0e31a4e740,Installation and bakeout,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Preparation,TE-VSC-BVO,SECT,A,Other
c8879363-e258-4141-a0d7-bc0d188c52ee,c962207b-e00b-4ad8-9840-01670714f240,9da48bdd-d914-47f1-89b3-d14d1104e1b1,Transport + exchange of one magnet,0,2f71f349-ecf9-46cf-9d73-4f94f4846af6,Installation,EN-HE-HH,SECT,A,Other
a5b0b368-b01e-4a25-87bb-bdfc49779c87,c962207b-e00b-4ad8-9840-01670714f240,68e4b8f0-0990-4afe-9535-3b0e31a4e740,Vacuum system re-commissioning including bake-out of interconnects,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Commissioning,TE-VSC-BVO,SECT,A,Other
5e7a1e48-0e63-4a2f-86f5-547247a4046a,fc387412-ea74-4ac4-a8e4-f11edc17f5d0,55b6690d-1b7f-42d6-8201-9fccb351667a,,1,,,SY-ABT,GROUP,A,Other
2ba84068-6795-46a3-890e-d1b7458f3687,fc387412-ea74-4ac4-a8e4-f11edc17f5d0,68e4b8f0-0990-4afe-9535-3b0e31a4e740,vacuum acceptance after rebuilt,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Preparation,TE-VSC-BVO,SECT,A,Other
9fddfcf8-e980-464c-842b-c4f9b57cb93a,fc387412-ea74-4ac4-a8e4-f11edc17f5d0,55b6690d-1b7f-42d6-8201-9fccb351667a,conditioning + ISTs,0,7765c648-c691-4c25-81a4-4bde83886dea,Commissioning,SY-ABT-SE,SECT,A,Other
7ee5d95c-c108-40d6-9e40-06d30e202000,fc387412-ea74-4ac4-a8e4-f11edc17f5d0,8365620a-eb50-4bb0-85bf-90c5d6f034a2,verification of alignment after installation,0,37e884c0-072c-41fc-97fc-0007becec31e,Installation,BE-GM-ASG,SECT,A,Other
355f37a3-e373-45b9-a19c-bbc2e622da28,fc387412-ea74-4ac4-a8e4-f11edc17f5d0,9da48bdd-d914-47f1-89b3-d14d1104e1b1,transport from blg 955 to SPS ring. Handling inside SPS tunnel for installation in LSS2.,0,2f71f349-ecf9-46cf-9d73-4f94f4846af6,Installation,EN-HE-HH,SECT,A,Other
859a96d3-cabb-4d99-b32f-3f8449f7a4ec,fc387412-ea74-4ac4-a8e4-f11edc17f5d0,68e4b8f0-0990-4afe-9535-3b0e31a4e740,venting and opening of sector 231; after instalaltion closing and pump down of the same sector.,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Installation,TE-VSC-BVO,SECT,A,Other
44ac8e9f-45b1-4537-aee5-cbdb7d0310d8,79c5a6c1-ba96-4664-9f96-64327a81b699,55b6690d-1b7f-42d6-8201-9fccb351667a,,1,,,SY-ABT,GROUP,A,Other
6c01319b-2bdd-4c20-9a97-d06ddaab7a21,79c5a6c1-ba96-4664-9f96-64327a81b699,844daf98-ad1d-45c3-ada2-827c73fe1f5e,installation of BTV system,0,22426c45-652a-4063-a3f1-a5651d99709a,Preparation,SY-BI-ML,SECT,A,Other
7eb48243-3175-45e3-b29c-67ab34c12dce,79c5a6c1-ba96-4664-9f96-64327a81b699,9da48bdd-d914-47f1-89b3-d14d1104e1b1,transport of  septum from ISR to PS tunnel. Handling during installation/exchange of septum.,0,2f71f349-ecf9-46cf-9d73-4f94f4846af6,Installation,EN-HE-HH,SECT,A,Other
03031640-7892-46d9-a906-bb0e3bda9ee3,79c5a6c1-ba96-4664-9f96-64327a81b699,8365620a-eb50-4bb0-85bf-90c5d6f034a2,verification of alignment after installation,0,37e884c0-072c-41fc-97fc-0007becec31e,Installation,BE-GM-ASG,SECT,A,Other
b74fddca-25cd-438e-8558-4f723419e331,79c5a6c1-ba96-4664-9f96-64327a81b699,68e4b8f0-0990-4afe-9535-3b0e31a4e740,acceptance testing,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Preparation,TE-VSC-BVO,SECT,A,Other
a0d43b1d-9949-4b72-be6a-85501f87f93d,79c5a6c1-ba96-4664-9f96-64327a81b699,68e4b8f0-0990-4afe-9535-3b0e31a4e740,"venting of sector 20, opening of sector, repumping after installation. Bake out to be planned.",0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Installation,TE-VSC-BVO,SECT,A,Other
5a79c1a0-1283-48a3-a7c5-19636066a5cc,639fc6a1-6e98-4029-bc71-a0fd0aae457d,79072ccc-eae6-4839-8cba-658b5f4f4740,coding of the new control software,0,a933410e-cb5d-4da3-80dc-f915f7706e98,Preparation,BE-ICS-CE,SECT,A,Other
c296cac3-70d0-4a20-b600-50b87bee38d9,639fc6a1-6e98-4029-bc71-a0fd0aae457d,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,"installation of a new power cable if required, connection to the new Hazmeyer",0,,Installation,EN-EL,GROUP,A,Other
a70b245b-a688-499b-aa84-e798dc37aa8e,639fc6a1-6e98-4029-bc71-a0fd0aae457d,79072ccc-eae6-4839-8cba-658b5f4f4740,support during test and commissioning,0,a933410e-cb5d-4da3-80dc-f915f7706e98,Commissioning,BE-ICS-CE,SECT,A,Other
55d7f3f9-0579-4477-80ef-1996f5374c0e,63fac92b-514d-4942-a029-c3e24f96fdff,2914bebb-400c-43d4-aa91-49bb5c4d2b0a,,1,,,SCE-SAM,GROUP,A,Other
1bf699d7-d917-4eb7-a393-4af8d383ea7f,643a885e-6aa6-48f7-a342-0b40f8b5881e,1e0903c6-33e8-41c2-ace7-322251906f1b,,1,,,EP-AIO,GROUP,A,Other
bde6932a-3d3d-435c-be0d-c64d3a2816ce,643a885e-6aa6-48f7-a342-0b40f8b5881e,47141482-7af2-46b7-8265-bc30da38aaa8,ALICE CR3 backbone upgrade,0,a24f4c4f-3187-4f19-b4e1-d95cf53a0e86,Installation,IT-CS-DO,SECT,A,Other
