"ID","GROUP_CONTRIBUTION_UUID","PLAN_UUID","VERSION_UUID","ACTIVITY_UUID","FIELD_SET_UUID","CONFIG_ID","PRIMARY_FIELD_CODE","FIELD_CODE","FIELD_VALUE"
"a615c9f3-5a79-4220-a358-54930f45f822","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","39663630-3436-3162-2d65-6432662d3437",79956,"","SYSTEM_TEST_RUN","true"
"e0f0e3c2-3078-45df-8da9-41d6be6acb28","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","39663630-3436-3162-2d65-6432662d3437",79956,"","DRAINING_DISCONN_RECONN","false"
"15321748-9dfc-445c-b430-0fcb96c479c3","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","39663630-3436-3162-2d65-6432662d3437",79956,"","STOP_START","false"
"dd8aeecf-590f-4eff-9a9f-f0347566672d","22993c41-390e-4736-b6dc-a66cedf06db0","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","31653635-3231-6363-2d36-6165312d3437",79957,"","YEAR_MAINTENANCE","false"
"3380da03-9f01-4331-a55a-381003faccda","22993c41-390e-4736-b6dc-a66cedf06db0","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","31653635-3231-6363-2d36-6165312d3437",79957,"","SPECIFIC_MAINTENANCE","false"
"6daee765-fcbc-49ea-806a-0de719efcb5a","22993c41-390e-4736-b6dc-a66cedf06db0","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","61396233-6366-3864-2d39-3761352d3432",79953,"","RADIOPROTECTION_ZONE","false"
"b8b8ec59-3aa4-45d1-9288-98cf2a83c4ac","22993c41-390e-4736-b6dc-a66cedf06db0","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","61396233-6366-3864-2d39-3761352d3432",79953,"","TECNICAL_ROOM","false"
"578e1450-2ced-455c-9630-dbcf4badf77f","22993c41-390e-4736-b6dc-a66cedf06db0","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","61396233-6366-3864-2d39-3761352d3432",79953,"","T_CONTROL_VALUE","false"
"73fc4bfa-172c-4ae3-9f51-c2f8f30a1a99","22993c41-390e-4736-b6dc-a66cedf06db0","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","61396233-6366-3864-2d39-3761352d3432",79953,"","HUMIDITY_CONTROL_VALUE","false"
"edadfc96-a4e1-40a7-a14b-91fceedd6f2a","22993c41-390e-4736-b6dc-a66cedf06db0","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","61396233-6366-3864-2d39-3761352d3432",79953,"","CLEAN_ROOM","false"
